 0.05000  4.4444730000 14
 0.06000  4.4502310000 14
 0.07000  4.4559390000 14
 0.08000  4.4615950000 14
 0.09000  4.4671940000 14
 0.10000  4.4726600000 14
 0.11000  4.4782800000 14
 0.12000  4.4837060000 14
 0.13000  4.4890810000 14
 0.14000  4.4943960000 14
 0.15000  4.4996490000 14
 0.16000  4.5048370000 14
 0.17000  4.5099590000 14
 0.18000  4.5150120000 14
 0.19000  4.5199960000 14
 0.20000  4.5249070000 14
 0.21000  4.5297450000 14
 0.22000  4.5345070000 14
 0.23000  4.5391920000 14
 0.24000  4.5437980000 14
 0.25000  4.5483240000 14
 0.26000  4.5527670000 14
 0.27000  4.5571260000 14
 0.28000  4.5613990000 14
 0.29000  4.5655850000 14
 0.30000  4.5696830000 14

-0.30000  4.2851170000 15
-0.29000  4.2893120000 15
-0.28000  4.2937180000 15
-0.27000  4.2983390000 15
-0.26000  4.3031750000 15
-0.25000  4.3082280000 15
-0.24000  4.3134990000 15
-0.23000  4.3189860000 15
-0.22000  4.3246850000 15
-0.21000  4.3305940000 15
-0.20000  4.3367080000 15
-0.19000  4.3430200000 15
-0.18000  4.3495250000 15
-0.17000  4.3562150000 15
-0.16000  4.3630820000 15
-0.15000  4.3701180000 15
-0.14000  4.3773130000 15
-0.13000  4.3846600000 15
-0.12000  4.3921480000 15
-0.11000  4.3997700000 15
-0.10000  4.4075150000 15
-0.09000  4.4153770000 15
-0.08000  4.4233440000 15
-0.07000  4.4314110000 15
-0.06000  4.4395680000 15
-0.05000  4.4478080000 15
-0.04000  4.4561230000 15
-0.03000  4.4645060000 15
-0.02000  4.4729510000 15
-0.01000  4.4814510000 15
 0.00000  4.4900000000 15
 0.01000  4.4985920000 15
 0.02000  4.5072220000 15
 0.03000  4.5158830000 15
 0.04000  4.5245720000 15
 0.05000  4.5332830000 15
 0.06000  4.5420120000 15
 0.07000  4.5507540000 15
 0.08000  4.5595040000 15
 0.09000  4.5682600000 15
 0.10000  4.5770170000 15
 0.11000  4.5857710000 15
 0.12000  4.5945190000 15
 0.13000  4.6032570000 15
 0.14000  4.6119810000 15
 0.15000  4.6206890000 15
 0.16000  4.6293770000 15
 0.17000  4.6380420000 15
 0.18000  4.6466810000 15
 0.19000  4.6552910000 15
 0.20000  4.6638680000 15
 0.21000  4.6724100000 15
 0.22000  4.6809140000 15
 0.23000  4.6893770000 15
 0.24000  4.6977950000 15
 0.25000  4.7061670000 15
 0.26000  4.7144880000 15
 0.27000  4.7227560000 15
 0.28000  4.7309680000 15
 0.29000  4.7391200000 15
 0.30000  4.7472110000 15

-0.30000  4.3113550000 16
-0.29000  4.3172420000 16
-0.28000  4.3218760000 16
-0.27000  4.3203390000 16
-0.26000  4.3148920000 16
-0.25000  4.3088480000 16
-0.24000  4.3026280000 16
-0.23000  4.2963170000 16
-0.22000  4.2899410000 16
-0.21000  4.2835120000 16
-0.20000  4.2770350000 16
-0.19000  4.2705150000 16
-0.18000  4.2639530000 16
-0.17000  4.2573510000 16
-0.16000  4.2507100000 16
-0.15000  4.2440330000 16
-0.14000  4.2373190000 16
